Sample,Rickettsiacea,Coxiellaceae,Ehrlichia,Borrelia,babseia,Anaplasma,ID,Sex,Species,Habitat,Site,
1A,Yes,Yes,No,No,No,No,23-6,F,AA,BLH,Ocmulgee,Plate1
2A,Yes,Yes,No,No,No,No,23-19,M,AA,BLH,Ocmulgee,Plate1
3A,Yes,Yes,Yes,No,No,Yes,17-20,F,AA,Pine,Ocmulgee,Plate1
4A,Yes,Yes,No,No,No,No,17-16,M,AA,Pine,Ocmulgee,Plate1
5A,Yes,Yes,No,No,No,No,19-12,F,AA,Upland,Ocmulgee,Plate1
6A,Yes,Yes,No,No,No,No,21-5,M,AA,Upland,Ocmulgee,Plate1
7A,Yes,Yes,No,No,No,No,23-16,N,AA,BLH,Ocmulgee,Plate1
8A,Yes,Yes,No,No,No,No,17-17,N,AA,Pine,Ocmulgee,Plate1
9A,Yes,Yes,No,No,No,No,20-1,N,AA,Upland,Ocmulgee,Plate1
10A,No,Yes,No,No,No,No,14-6,N,AA,Upland,Ocmulgee,Plate1
1B,Yes,Yes,No,No,No,No,23-11,F,AA,BLH,Ocmulgee,Plate1
2B,Yes,Yes,No,No,No,No,23-20,M,AA,BLH,Ocmulgee,Plate1
3B,Yes,Yes,Yes,No,No,Yes,18-13,F,AA,Pine,Ocmulgee,Plate1
4B,Yes,Yes,No,No,No,No,18-8,M,AA,Pine,Ocmulgee,Plate1
5B,Yes,Yes,No,No,No,No,19-17,F,AA,Upland,Ocmulgee,Plate1
6B,Yes,Yes,No,No,No,No,21-8,M,AA,Upland,Ocmulgee,Plate1
7B,Yes,Yes,No,No,No,No,23-14,N,AA,BLH,Ocmulgee,Plate1
8B,Yes,Yes,No,No,No,No,18-3,N,AA,Pine,Ocmulgee,Plate1
9B,Yes,Yes,No,No,No,No,20-3,N,AA,Upland,Ocmulgee,Plate1
1C,Yes,Yes,No,No,No,No,23-12,F,AA,BLH,Ocmulgee,Plate1
2C,Yes,Yes,No,Yes,No,No,24-3,M,AA,BLH,Ocmulgee,Plate1
3C,Yes,Yes,No,No,No,No,18-19,F,AA,Pine,Ocmulgee,Plate1
4C,Yes,Yes,No,No,No,No,18-9,M,AA,Pine,Ocmulgee,Plate1
5C,Yes,Yes,No,No,No,No,19-18,F,AA,Upland,Ocmulgee,Plate1
6C,Yes,Yes,No,No,No,No,21-9,M,AA,Upland,Ocmulgee,Plate1
7C,Yes,Yes,No,No,No,No,23-15,N,AA,BLH,Ocmulgee,Plate1
8C,Yes,Yes,No,No,No,No,18-4,N,AA,Pine,Ocmulgee,Plate1
9C,Yes,Yes,No,No,No,No,20-4,N,AA,Upland,Ocmulgee,Plate1
1D,Yes,Yes,No,Yes,No,No,23-13,F,AA,BLH,Ocmulgee,Plate1
2D,Yes,Yes,No,Yes,No,No,24-4,M,AA,BLH,Ocmulgee,Plate1
3D,Yes,Yes,Yes,Yes,No,Yes,18-20,F,AA,Pine,Ocmulgee,Plate1
4D,Yes,Yes,No,Yes,No,No,18-10,M,AA,Pine,Ocmulgee,Plate1
5D,Yes,Yes,No,Yes,No,No,20-20,F,AA,Upland,Ocmulgee,Plate1
6D,Yes,Yes,No,No,No,No,19-16,M,AA,Upland,Ocmulgee,Plate1
7D,Yes,Yes,No,Yes,No,No,17-18,N,AA,Pine,Ocmulgee,Plate1
8D,Yes,Yes,No,Yes,No,No,19-13,N,AA,Upland,Ocmulgee,Plate1
9D,Yes,Yes,No,Yes,No,No,20-5,N,AA,UPland,Ocmulgee,Plate1
1E,Yes,Yes,No,No,No,No,23-18,F,AA,BLH,Ocmulgee,Plate1
2E,Yes,Yes,No,Yes,No,No,23-7,M,AA,BLH,Ocmulgee,Plate1
3E,Yes,Yes,No,No,No,No,18-1,F,AA,Pine,Ocmulgee,Plate1
4E,Yes,Yes,No,No,No,No,18-11,M,AA,Pine,Ocmulgee,Plate1
5E,Yes,Yes,No,No,No,No,21-1,F,AA,Upland,Ocmulgee,Plate1
6E,Yes,Yes,No,No,No,No,21-7,M,AA,Upland,Ocmulgee,Plate1
7E,Yes,Yes,No,No,No,No,17-19,N,AA,Pine,Ocmulgee,Plate1
8E,Yes,Yes,No,No,No,No,19-14,N,AA,Upland,Ocmulgee,Plate1
9E,Yes,Yes,No,No,No,No,20-8,N,AA,Upland,Ocmulgee,Plate1
1F,Yes,Yes,No,No,No,No,24-2,F,AA,BLH,Ocmulgee,Plate1
2F,Yes,Yes,No,Yes,No,No,23-9,M,AA,BLH,Ocmulgee,Plate1
3F,Yes,Yes,No,No,No,No,17-15,M,AA,Pine,Ocmulgee,Plate1
4F,Yes,Yes,No,No,No,No,18-16,M,AA,Pine,Ocmulgee,Plate1
5F,Yes,Yes,No,No,No,No,21-4,F,AA,Upland,Ocmulgee,Plate1
6F,Yes,Yes,No,No,No,No,20-6,M,AA,Upland,Ocmulgee,Plate1
7F,Yes,Yes,No,No,No,No,18-2,N,AA,Pine,Ocmulgee,Plate1
8F,Yes,Yes,No,No,No,No,19-15,N,AA,Upland,Ocmulgee,Plate1
9F,Yes,Yes,No,No,No,No,20-9,N,AA,Upland,Ocmulgee,Plate1
1G,Yes,Yes,No,No,No,No,23-10,M,AA,BLH,Ocmulgee,Plate1
2G,Yes,Yes,No,No,No,No,24-1,M,AA,BLH,Ocmulgee,Plate1
3G,Yes,Yes,Yes,No,No,No,18-15,M,AA,Pine,Ocmulgee,Plate1
