Season,Region,Site,Habitat,Transect #,Tick # On transect,Species,Sex,Life stage,Rickettsia,Ehrlichia ewingii,Ehrlichia chaffeensis,Anaplasma phagocytophilum,Borrelia spp. ,PME 
Summer,Lower Coastal,Wando,BLH,13,1,Amblyomma americanum,Female,Adult,PosRick,NegEew,NegEch,,,NegPME
Summer,Lower Coastal,Wando,BLH,13,2,Ixodes affinis,Female,Adult,,,,NegAna,NegBor,
Summer,Lower Coastal,Wando,BLH,7,1,Amblyomma americanum,Male,Adult,PosRick,NegEew,NegEch,,,PosPME
Summer,Lower Coastal,Wando,BLH,5,1,Ixodes affinis,Male,Adult,,,,NegAna,NegBor,
Summer,Lower Coastal,Wando,BLH,5,2,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,17,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,17,2,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,6,1,Amblyomma americanum,Female,Adult,PosRick,NegEew,NegEch,,,NegPME
Summer,Lower Coastal,Wando,BLH,6,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,9,1,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,16,1,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,20,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,12,1,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,11,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,14,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,18,1,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,19,1,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,19,2,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,1,1,Amblyomma americanum,Male,Adult,PosRick,NegEew,NegEch,,,NegPME
Summer,Lower Coastal,Wando,BLH,1,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,1,3,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,1,4,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,1,5,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,1,6,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,1,7,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,1,8,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,1,9,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,1,10,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Wando,BLH,19,1,Amblyomma americanum,,Larval cluster,,,,,,
Summer,Lower Coastal,Steed Creek,BLH,15,1,Ixodes affinis,Female,Adult,,,,NegAna,PosBor,
Summer,Lower Coastal,Steed Creek,BLH,18,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Steed Creek,BLH,6,1,Amblyomma americanum,Female,Adult,PosRick,NegEew,NegEch,,,NegPME
Summer,Lower Coastal,Steed Creek,BLH,6,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Steed Creek,BLH,6,3,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Steed Creek,BLH,16,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Steed Creek,BLH,10,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Steed Creek,BLH,10,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Steed Creek,BLH,13,1,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Lower Coastal,Steed Creek,BLH,8,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Steed Creek,BLH,8,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Steed Creek,BLH,12,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Steed Creek,BLH,4,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Steed Creek,BLH,2,1,Amblyomma americanum,,Larval cluster,,,,,,
Summer,Lower Coastal,Sewee,Maritime Forest,1,1,Amblyomma americanum,Female,Adult,PosRick,NegEew,NegEch,,,NegPME
Summer,Lower Coastal,Sewee,Maritime Forest,1,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Sewee,Maritime Forest,2,1,Amblyomma americanum,Male,Adult,NegRick,NegEew,NegEch,,,NegPME
Summer,Lower Coastal,Sewee,Maritime Forest,2,2,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Lower Coastal,Sewee,Maritime Forest,11,1,Amblyomma americanum,Female,Adult,PosRick,NegEew,NegEch,,,NegPME
Summer,Lower Coastal,Sewee,Maritime Forest,3,1,Ixodes affinis,Male,Adult,,,,NegAna,PosBor,
Summer,Lower Coastal,Sewee,Maritime Forest,9,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Sewee,Maritime Forest,16,1,Amblyomma americanum,Male,Adult,PosRick,NegEew,NegEch,,,NegPME
Summer,Lower Coastal,Sewee,Maritime Forest,17,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,FM McConnell,BLH,3,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,FM McConnell,BLH,3,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,South Tibwin,Maritime Forest,4,1,Ixodes affinis,Female,Adult,,,,NegAna,NegBor,
Summer,Lower Coastal,South Tibwin,Maritime Forest,11,1,Amblyomma americanum,Male,Adult,PosRick,NegEew,NegEch,,,NegPME
Summer,Lower Coastal,South Tibwin,Maritime Forest,8,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,South Tibwin,Maritime Forest,9,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,South Tibwin,Maritime Forest,9,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,South Tibwin,Maritime Forest,7,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,South Tibwin,Maritime Forest,7,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,South Tibwin,Maritime Forest,7,3,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,South Tibwin,Maritime Forest,7,4,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,South Tibwin,Maritime Forest,2,1,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Lower Coastal,South Tibwin,Maritime Forest,2,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Tom Yawkey,Longleaf Pine,6,1,Amblyomma americanum,Female,Adult,PosRick,NegEew,NegEch,,,NegPME
Summer,Lower Coastal,Tom Yawkey,Longleaf Pine,6,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Tom Yawkey,Longleaf Pine,5,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Tom Yawkey,Longleaf Pine,5,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Tom Yawkey,Longleaf Pine,5,3,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Tom Yawkey,Longleaf Pine,14,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Lower Coastal,Tom Yawkey,Longleaf Pine,2,1,Amblyomma americanum,,Larval cluster,,,,,,
Summer,Lower Coastal,Halfway Creek,Longleaf Pine,2,1,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Lower Coastal,Halfway Creek,Longleaf Pine,2,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,1,1,Amblyomma americanum,Female,Adult,,PosEew,PosEch,,,NegPME
Summer,Piedmont,Ocmulgee,BLH,1,2,Amblyomma americanum,,Nymph,,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,1,3,Amblyomma americanum,,Nymph,,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,1,4,Amblyomma americanum,,Nymph,,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,9,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,9,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,9,3,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,2,1,Amblyomma americanum,,Nymph,,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,2,2,Amblyomma americanum,,Nymph,,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,2,3,Amblyomma americanum,,Nymph,,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,2,4,Amblyomma americanum,,Nymph,,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,2,5,Amblyomma americanum,,Nymph,,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,2,6,Amblyomma americanum,,Nymph,,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,2,7,Amblyomma americanum,,Nymph,,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,2,8,Amblyomma americanum,,Larval cluster,,,,,,
Summer,Piedmont,Ocmulgee,BLH,20,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,15,1,Dermacentor variabilis,Male,Adult,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,8,1,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,8,2,Dermacentor variabilis,Male,Adult,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,12,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,7,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,7,2,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,7,3,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,7,4,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,5,1,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,5,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,5,3,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,5,4,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,4,1,Amblyomma americanum,,Nymph,,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,4,2,Amblyomma americanum,,Nymph,,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,4,3,Amblyomma americanum,,Larval cluster,,,,,,
Summer,Piedmont,Ocmulgee,BLH,13,1,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,5,5,Amblyomma americanum,,Nymph,,,,,,
Summer,Piedmont,Ocmulgee,BLH,16,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,16,2,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,6,1,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,6,2,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,6,3,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,18,1,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,10,1,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,BLH,10,2,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,11,1,Amblyomma americanum,Female,Adult,PosRick,NegEew,NegEch,,,NegPME
Summer,Piedmont,Ocmulgee,Upland,11,2,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,11,3,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,11,4,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,11,5,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,11,6,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,11,7,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,11,8,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,11,9,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,10,1,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,10,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,10,3,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,10,4,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,18,1,Amblyomma americanum,Female,Adult,PosRick,NegEew,NegEch,,,NegPME
Summer,Piedmont,Ocmulgee,Upland,18,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,18,3,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,18,4,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,18,5,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,18,6,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,18,7,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,18,8,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,19,1,Amblyomma americanum,Male,Adult,PosRick,NegEew,NegEch,,,NegPME
Summer,Piedmont,Ocmulgee,Upland,19,2,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,19,3,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,19,4,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,19,5,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,8,1,Amblyomma americanum,Male,Adult,PosRick,NegEew,NegEch,,,NegPME
Summer,Piedmont,Ocmulgee,Upland,8,2,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,8,3,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,8,4,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,8,5,Amblyomma americanum,,Nymph,PosRick,NegEew,NegEch,,,
Summer,Piedmont,Ocmulgee,Upland,1,1,Amblyomma americanum,,Nymph,NegRick,NegEew,NegEch,,,
